ensembl_gene	chrom	start	end
MT-TF	MT	577	647
MT-RNR1	MT	648	1601
MT-TV	MT	1602	1670
MT-RNR2	MT	1671	3229
MT-TL1	MT	3230	3304
MT-ND1	MT	3307	4262
MT-TI	MT	4263	4331
MT-TQ	MT	4329	4400
MT-TM	MT	4402	4469
MT-ND2	MT	4470	5511
MT-TW	MT	5512	5579
MT-TA	MT	5587	5655
MT-TN	MT	5657	5729
MT-TC	MT	5761	5826
MT-TY	MT	5826	5891
MT-CO1	MT	5904	7445
MT-TS1	MT	7446	7514
MT-TD	MT	7518	7585
MT-CO2	MT	7586	8269
MT-TK	MT	8295	8364
MT-ATP8	MT	8366	8572
MT-ATP6	MT	8527	9207
MT-CO3	MT	9207	9990
MT-TG	MT	9991	10058
MT-ND3	MT	10059	10404
MT-TR	MT	10405	10469
MT-ND4L	MT	10470	10766
MT-ND4	MT	10760	12137
MT-TH	MT	12138	12206
MT-TS2	MT	12207	12265
MT-TL2	MT	12266	12336
MT-ND5	MT	12337	14148
MT-ND6	MT	14149	14673
MT-TE	MT	14674	14742
MT-CYB	MT	14747	15887
MT-TT	MT	15888	15953
MT-TP	MT	15956	16023
Y_RNA	3	152449272	152449384
RNA5SP65	1	167005959	167006077
RN7SL817P	2	46448224	46448511
AL606748.2	X	38308112	38308241
RNU6-1243P	11	61937894	61938000
RN7SKP195	1	237120807	237121109
RNA5SP477	20	21138956	21139074
RNU6-610P	15	43637632	43637738
RNU7-29P	1	26602369	26602432
RNU6-9	19	893484	893590
RNU4-50P	8	58814412	58814552
RNA5SP138	3	126564565	126564678
Y_RNA	20	53544615	53544725
AC004080.15	7	27187819	27188021
AC136611.1	16	28179098	28179223
RNA5SP368	12	101779814	101779929
U6	CHR_HSCHR6_MHC_DBB_CTG1	31076788	31076887
U3	6	71126893	71127105
RNU6-204P	4	3044101	3044207
Y_RNA	4	166312935	166313034
RNU6-1172P	8	96431054	96431160
SNORA6	3	39408389	39408539
Y_RNA	5	10292041	10292148
RNA5SP130	3	49467115	49467228
RN7SKP21	14	36231555	36231774
RN7SKP219	10	21785292	21785587
RN7SKP2	13	40407122	40407440
SNORA77	1	203729581	203729705
RNA5SP165	4	147745303	147745417
SNORA38	6	31623079	31623210
RN7SL65P	2	174240143	174240457
RN7SL705P	18	62650308	62650601
RNA5SP291	9	103689473	103689577
Y_RNA	7	6004283	6004385
Y_RNA	6	41917416	41917526
RN7SKP258	9	18651147	18651450
RNA5SP243	7	128697710	128697744
RNU6-976P	14	84739942	84740052
RNU6-929P	20	56785981	56786087
Y_RNA	3	37093133	37093234
Y_RNA	5	132945342	132945454
MIR6841	8	24953796	24953867
MIR660	X	50013241	50013337
SNORD138	5	86620497	86620575
MIR4757	2	19348429	19348505
MIR559	2	47377675	47377770
MIR371B	19	53787677	53787742
MIR3678	17	75406069	75406162
MIR4425	1	25023503	25023586
MIR4297	10	129843299	129843374
MBOAT7	CHR_HSCHR19LRC_LRC_T_CTG3_1	54173854	54190480
AC007325.1	KI270734.1	72411	74814
CHRFAM7A	CHR_HSCHR15_4_CTG8	30511927	30544252
RNU6-684P	14	104400943	104401048
Y_RNA	1	99791662	99791753
RNU6-681P	3	177126017	177126120
RNU6-570P	1	200054061	200054165
RNU4-20P	12	59586793	59586943
RNU6-711P	17	29424762	29424867
RNA5SP139	3	127963608	127963724
Y_RNA	GL000205.2	93050	93150
RNU6-1098P	3	149525631	149525726
Y_RNA	12	127619336	127619447
RNU6-551P	4	107435118	107435220
RNU6-57P	13	41354557	41354659
SCARNA13	14	95533355	95533629
U1	21	9646825	9647000
RN7SL803P	5	154718383	154718689
Y_RNA	7	77013583	77013684
Y_RNA	7	36337667	36337778
RNU6-1285P	4	154543933	154544037
U3	21	29180425	29180639
